sk_prescriber_id,npi_number,first_name,last_name,specialty,sub_specialty,practice_name,address_line1,city,state,zip_code,phone,years_experience,is_active,created_date,updated_date
1,2864876473,Kelli,Conley,Pulmonology,Pediatric,"Johnson, Rogers and Miranda Medical Group",622 Marie Trail,Lake Samuel,CA,54353,(737)994-7383x473,23,1,2020-01-25,2024-04-18
2,6504099682,Steven,Campbell,Cardiology,Adult,Shaw-Barnes Medical Group,92407 Spencer Cove,West Christopherburgh,CA,36256,782.561.3750x606,5,1,2021-10-02,2022-11-11
3,2549748436,Paul,Miller,Neurology,Academic,Johnson Inc Medical Group,20472 West Avenue Apt. 043,New Shelby,CA,80308,961.243.4103x69711,20,1,2021-09-10,2023-02-13
4,1110533960,Crystal,Andrews,Hematology,Adult,"Thomas, Patterson and Mendez Medical Group",621 Jones Pine,South Morganton,NJ,83819,(754)705-1531x9520,20,1,2021-08-27,2022-08-25
5,8665986525,Lisa,Thompson,Endocrinology,Academic,"Marshall, Dominguez and Welch Medical Group",70430 Nina Island,Zacharyside,GA,62550,903-845-0541x566,18,1,2021-03-04,2023-01-14
6,9098129449,Matthew,Lopez,Rheumatology,General,"Jimenez, Glass and Stone Medical Group",616 Amy Islands,North Markport,NY,40674,296.327.5705x964,30,1,2021-06-19,2024-08-10
7,1264739091,Emily,Sullivan,Endocrinology,Pediatric,"Owen, Shelton and Cisneros Medical Group",702 Joel Rue,Michaelshire,CA,04745,+1-727-655-7192x856,24,1,2021-04-27,2023-04-11
8,7539441086,John,Wilson,Cardiology,,"Lopez, Holmes and Mcintyre Medical Group",4739 Benson Overpass,North Derek,NJ,10207,427.715.5188x442,32,1,2020-04-27,2024-09-02
9,5634076661,William,Martinez,Endocrinology,Pediatric,Conner and Sons Medical Group,58957 Cheryl Corners Apt. 467,Hammondshire,NC,10167,(451)477-8528,35,1,2019-10-29,2022-09-04
10,5227828349,Ryan,Bartlett,Genetics,Adult,Guerra PLC Medical Group,2253 Meza Path,Meghanview,WA,26230,+1-484-724-9818x2992,14,1,2021-05-17,2022-06-10
11,7850677534,Megan,Elliott,Oncology,General,Miller Ltd Medical Group,396 Tyler Road Suite 473,Evansland,MA,90758,4277677359,6,1,2021-03-24,2023-10-30
12,7527011028,Michelle,Flores,Endocrinology,Pediatric,Hester-Anderson Medical Group,815 Steven Grove Suite 321,West Soniachester,WA,33042,(959)653-2787,35,1,2019-08-19,2024-04-28
13,5035765954,Tyler,Davis,Pulmonology,Pediatric,Wagner-Levy Medical Group,500 Simpson Ville,Mitchelltown,MI,14590,(624)356-5060x98358,8,1,2022-01-01,2023-12-06
